Time,FC,PAS,PAM,PAD
-1,61,116,75,64
0,67.1,127.6,82.5,64
30,67.1987,128.579,80.7399,64
60,65.9691,130.657,83.5678,64
90,68.6223,130.303,82.6451,64
120,66.2987,128.164,80.9033,64
150,75.3403,125.926,89.7984,64
180,73.6801,126.161,91.7341,64
210,73.4797,125.794,83.7118,64
240,72.2874,126.961,80.7624,64
270,65.6049,125.374,81.0179,64
300,65.8625,130.143,81.4868,64
330,68.1846,129.441,81.9636,64
360,66.6907,127.484,82.7971,64
390,67.8332,130.018,81.6369,64
420,65.9407,124.85,84.1992,64
450,67.1228,126.038,80.6096,65.4223
480,66.3052,124.399,85.8588,64.4084
510,69.2751,125.522,85.6141,64.5105
540,65.7702,126.122,82.6991,64.0191
570,67.1404,126.418,81.0507,62.9069
600,67.898,124.949,80.9729,65.0957
630,65.039,125.16,82.4241,63.0871
660,69.1537,129.37,82.7211,64.7225
690,67.6325,127.432,80.9449,64.3397
720,68.2233,130.991,85.0047,63.4562
750,64.3981,124.953,82.2362,63.7176
780,66.467,126.704,81.4123,64.1202
810,66.6257,125.589,82.8651,63.0578
840,69.6771,129.384,83.2434,63.4274
870,66.0868,128.187,84.0665,64.982
900,67.2848,121.084,81.1186,64.1132
930,64.041,105.694,67.5835,50.5921
960,64.9818,102.022,63.8149,49.5344
990,64.7615,111.705,67.5032,50.2613
1020,63.5263,104.047,69.6215,52.3173
1050,63.7311,106.463,62.1107,49.2512
1080,61.6943,109.272,69.204,50.2383
1110,61.6379,102.115,63.3216,48.0487
1140,65.0554,108.498,63.1164,53.106
1170,57.3658,102.43,64.5186,52.3015
1200,61.4736,126.365,65.7044,49.8001
1230,59.7979,126.043,63.1719,49.1014
1260,61.2217,130.184,65.8176,49.6733
1290,64.4694,130.374,71.5455,51.3061
1320,62.6417,128.125,81.752,62.4629
1350,62.5147,126.331,84.3247,63.7468
1380,58.7652,131.563,77.2831,63.185
1410,58.5231,128.032,84.0656,63.9494
1440,62.0013,128.733,81.0849,64.2228
1470,58.1265,130.058,83.3573,63.0788
1500,61.2146,126.587,77.0926,61.0464
1530,59.1522,131.985,83.9365,61.4101
1560,61.8293,122.844,83.5016,63.0949
1590,57.9625,129.059,78.8445,65.6245
1620,57.6844,134.658,79.7215,62.32
1650,59.3704,128.412,82.2357,63.6559
1680,60.2258,123.571,89.2742,65.0127
1710,57.9912,128.125,79.7253,62.7245
1740,60.4434,127.566,80.3361,61.0404
1770,59.9426,127.36,85.5865,64.7007
1800,59.0171,109.305,74.8869,52.0955
1830,50.8681,91.6229,35.3997,43.1499
1860,51.9838,88.7812,31.909,43.6482
1890,49.8539,87.7747,29.4916,47.4961
1920,51.4993,89.2422,36.2063,43.684
1950,51.8998,87.0709,35.2763,44.6636
1980,52.7283,88.2514,34.3747,47.1122
2010,50.2187,90.7614,30.7938,43.2392
2040,55.4983,85.1429,48.8271,44.2088
2070,56.8439,86.6619,48.4186,45.5385
2100,56.172,86.595,51.2724,45.635
2130,53.7353,83.8098,49.085,45.8741
2160,55.8898,84.2732,51.4289,44.4278
2190,57.2536,85.6561,48.4943,45.8627
2220,55.7186,86.4127,48.657,43.0957
2250,53.5666,91.0969,49.8676,45.009
2280,52.784,87.2798,56.0657,42.8917
2310,52.5111,82.777,51.0639,46.1456
2340,55.7385,86.006,55.1337,44.9784
2370,54.4759,82.9496,49.7064,42.9457
2400,55.5329,83.5327,52.8233,44.0569
2430,54.792,72.0385,43.5845,34.6659
2460,51.1462,59.9724,33.312,31.3232
2490,50.8057,58.4326,34.5586,30.6311
2520,49.7027,65.7244,37.9599,29.5856
2550,53.3965,64.9325,43.1952,30.6634
2580,53.5383,62.7363,44.856,31.0123
2610,52.9242,63.5161,39.0683,32.3026
2640,54.2416,68.227,38.6926,30.8201
2670,50.2295,65.3799,36.2375,33.294
2700,51.3623,65.1387,44.9228,30.6765
2730,50.9635,66.7778,40.6843,29.8437
2760,51.934,65.4056,44.0134,33.4044
2790,50.1914,70.2754,43.2767,33.8066
2820,51.1803,67.2682,34.6891,29.9404
2850,50.1586,63.37,38.0557,30.2227
2880,51.1435,58.8749,38.7324,27.982
2910,50.8951,63.5704,40.917,32.8316
2940,50.9981,57.9478,36.2143,32.1935
2970,51.3799,63.5307,41.5981,30.6978
3000,51.3447,66.9505,39.4057,30.5717
3030,51.6157,66.1736,40.255,29.6708
3060,48.7842,67.6629,42.8115,33.1033
3090,51.8128,61.8368,37.4388,33.2343
3120,48.6677,61.8015,40.0927,31.9917
3150,48.0435,65.4611,42.8386,29.6186
3180,50.0051,70.5562,41.1891,35.8381
3210,49.835,67.0341,37.1194,28.2314
3240,51.5487,67.5831,36.1845,29.2317
3270,53.1066,66.9948,36.2735,32.3243
3300,50.5101,59.1195,43.1063,33.0209
3330,58.9743,68.822,53.5542,33.4322
3360,60.0957,78.2716,51.4976,31.2396
3390,51.0856,64.3324,48.7339,34.4378
3420,51.9329,63.1868,47.1816,31.6208
3450,50.5543,64.944,45.173,32.1562
3480,53.0547,65.4456,41.2636,34.5361
3510,50.9377,63.6776,46.9178,30.3989
3540,50.6467,60.9908,40.4086,31.6654
3570,49.1788,58.6578,37.7538,30.8999
3600,54.8122,59.5779,39.6793,27.979
3630,50.9789,64.1844,43.6815,26.6198
3660,48.8571,61.5209,44.8408,30.667
3690,52.2459,66.4714,40.0937,31.4838
3720,52.5101,63.2473,47.1414,30.7874
3750,51.3918,62.1389,47.8609,30.5836
3780,51.4244,65.1337,45.6813,34.9968
3810,50.921,64.0249,45.4144,31.4594
3840,53.3942,58.2966,46.03,29.7915
3870,53.1852,58.3922,43.5113,33.9387
3900,50.8474,58.9946,49.5698,35.2503
3930,55.8839,59.9629,46.7916,30.5309
3960,54.6254,62.8003,44.1367,32.3786
3990,55.066,61.3653,46.4976,31.4179
4020,56.4877,64.604,42.0947,33.3586
4050,57.9426,66.6976,40.6554,31.6158
4080,57.9938,64.6725,44.7554,35.8811
4110,56.6852,60.4197,47.0768,33.297
4140,59.118,62.9917,46.6486,31.7576
4170,59.5016,62.9886,42.5404,31.6526
4200,58.5817,62.0219,44.8647,31.7828
4230,59.3079,60.7123,46.7101,32.1567
4260,57.7336,65.5525,43.0144,34.1719
4290,59.9102,61.3687,46.8097,34.1858
4320,56.8583,63.2934,44.6102,32.0854
4350,61.8388,63.7204,46.8413,34.9937
4380,57.6267,58.9664,47.5396,28.9687
4410,56.395,59.675,41.1166,32.1458
4440,58.5007,61.3197,43.1994,31.8825
4470,59.2907,59.2501,45.7201,31.3357
4500,59.9538,61.7265,42.2099,32.1767
4530,62.0145,62.8753,45.3174,32.6847
4560,60.0483,57.0928,45.6514,30.356
4590,58.5288,59.3456,42.6976,30.0296
4620,56.4721,59.3124,47.1359,34.3505
4650,61.5591,63.6681,41.8535,31.5084
4680,58.3711,59.4789,46.4701,32.3962
4710,60.4548,66.4932,47.5262,32.2843
4740,55.6738,57.7885,48.7561,35.4104
4770,55.2391,61.7262,40.8221,32.0613
4800,57.7051,55.1339,45.6628,32.7419
4830,57.676,58.1288,42.7769,31.355
4860,59.3248,63.7872,44.7282,29.4029
4890,56.9498,63.945,45.3493,36.3795
4920,67.6474,79.7461,55.673,34.0696
4950,70.2283,79.6533,54.9614,32.6087
4980,70.4619,77.3007,55.519,32.2785
5010,71.5124,79.7824,52.328,32.5631
5040,70.5642,82.3146,53.3188,34.2223
5070,68.8498,76.1489,57.6092,32.1693
5100,69.3704,76.9804,53.3527,32.2797
5130,69.5393,79.4007,51.0329,34.8075
5160,72.1716,80.1398,53.6587,34.5044
5190,66.2274,77.853,51.719,32.2853
5220,67.8478,80.5429,53.4049,31.8333
5250,74.2059,83.2334,54.3355,31.1668
5280,75.1588,80.2626,53.7608,33.2821
5310,75.2486,85.9527,55.3731,33.209
5340,71.2212,86.1308,55.7083,32.9825
5370,75.1404,82.5228,54.8267,33.2572
5400,73.817,84.493,55.2676,32.7108
5430,72.0533,82.193,59.9854,33.8774
5460,76.5208,85.2198,59.7524,35.1517
5490,75.9794,84.6766,60.5109,30.9639
5520,79.1786,86.6459,55.6159,32.0923
5550,78.7725,84.7511,57.2237,34.4686
5580,77.487,89.2067,59.8206,35.0493
5610,80.685,87.5545,56.4143,34.5559
5640,80.6828,81.3553,57.076,34.449
5670,82.2449,83.8684,59.1601,35.5314
5700,83.5681,88.1012,63.7958,36.0221
5730,79.6139,85.6628,59.2359,33.3774
5760,81.3269,88.4544,57.201,29.6473
5790,82.0612,83.1801,55.9111,33.7993
5820,80.7471,87.2709,54.1397,31.2826
5850,80.3733,82.214,59.3534,31.8476
5880,78.5055,89.9008,58.3812,35.9659
5910,77.9157,88.461,58.7869,31.6128
5940,78.4572,86.3662,59.6611,37.1511
5970,75.8006,88.3173,59.2801,34.8833
6000,73.7792,86.7414,57.2254,32.1124
6030,74.7576,87.8719,60.0928,31.2562
6060,72.8578,82.2434,57.818,33.902
6090,73.4088,86.5937,61.2352,32.4942
6120,73.2388,87.3011,56.2524,33.1617
6150,75.1363,88.9678,59.0184,32.0866
6180,74.0752,81.6168,59.3072,32.9896
6210,72.2765,85.2447,56.6486,34.503
6240,72.4771,88.7291,54.1874,33.8959
6270,74.3148,80.6805,60.9552,33.5576
6300,74.5855,82.2494,60.5602,30.991
6330,74.8304,84.5083,52.5306,33.2429
6360,74.4074,84.1979,61.6962,34.5259
6390,71.2631,86.0709,58.1508,31.0701
6420,73.9681,88.1162,57.5063,35.2697
6450,70.7684,89.7327,61.9391,34.203
6480,71.7179,85.2947,55.5934,34.1391
6510,71.3157,80.078,58.6181,36.3796
6540,73.7149,82.8453,55.8719,35.9569
6570,71.9882,90.006,60.5127,37.6582
6600,73.0384,89.4886,56.5532,35.9833
6630,72.5276,86.2618,57.2658,32.4062
6660,73.7649,82.3411,57.1939,32.7185
6690,72.3236,86.8338,55.7919,37.4878
6720,71.0385,87.7045,56.8171,34.998
