Time,FC,PAS,PAM,PAD
-1,62,125,96,89
0,68.2,137.5,105.6,89
30,67.2987,140.265,103.395,89
60,66.6485,134.695,104.547,89
90,68.2888,137.59,107.375,89
120,66.688,138.569,106.644,89
150,76.4816,137.048,117.031,89
180,75.6914,134.565,115.381,89
210,66.5535,135.666,103.489,89
240,68.2095,137.111,106.61,89
270,67.6773,139.375,103.778,89
300,69.4406,137.186,106.942,89
330,69.7905,138.129,104.187,89
360,67.3402,140.45,108.12,89
390,67.7375,138.348,104.061,89
420,68.8667,137.775,107.855,89
450,67.5716,137.419,105.034,87.5194
480,68.1606,133.367,103.541,90.4072
510,68.2073,138.805,107.29,89.236
540,66.9358,138.719,102.531,90.2484
570,70.6859,138.614,102.314,89.9711
600,68.7831,138.452,105.705,88.993
630,69.9312,135.996,102.31,90.3803
660,70.3409,137.172,107.279,89.3925
690,66.7959,139.914,104.342,88.6406
720,68.1233,138.433,102.234,88.2729
750,65.1303,142.06,105.399,88.2245
780,68.572,136.65,104.054,87.8032
810,68.5315,141.992,105.951,89.8891
840,66.4579,139.26,104.159,90.084
870,65.6703,106.968,84.3395,71.5618
900,63.3514,104.527,86.052,67.2004
930,67.5011,108.659,84.6192,69.979
960,68.4787,109.832,82.8768,71.6102
990,63.2249,111.901,84.5726,71.5601
1020,63.8491,107.29,84.8514,71.2481
1050,63.4133,115.899,84.2664,69.693
1080,64.6347,100.467,87.4751,70.6181
1110,62.9292,110.662,88.8653,69.0299
1140,60.8171,107.677,86.199,71.2562
1170,62.8974,106.341,82.8962,71.6246
1200,63.745,136.555,85.4515,70.2106
1230,62.8116,137.449,81.5317,72.1374
1260,59.6382,136.594,104.149,89.2651
1290,61.0604,135.965,106.494,89.7745
1320,61.8031,136.956,105.683,90.9906
1350,62.1123,136.134,109.577,87.4092
1380,59.5191,114.737,70.2172,74.5811
1410,52.326,99.4473,49.7771,64.1601
1440,54.749,98.6183,45.4436,64.2327
1470,53.8268,90.2664,50.1822,62.3098
1500,51.5734,96.397,46.587,60.8921
1530,54.1217,96.251,48.1017,61.5998
1560,52.8628,98.1825,44.9672,62.7667
1590,52.8312,93.9212,46.4301,62.4647
1620,56.6391,96.7628,68.6493,64.6975
1650,54.4243,92.9196,69.333,65.0849
1680,58.5629,95.8704,66.667,62.4984
1710,56.1981,89.2476,69.6751,62.8634
1740,58.6617,98.8233,64.6279,63.1224
1770,59.1173,99.1493,66.0413,63.8866
1800,55.5501,97.7383,67.8094,63.5815
1830,58.1463,91.36,66.7077,64.3383
1860,58.9187,95.7027,63.3974,63.9
1890,54.5454,92.7475,66.702,63.3118
1920,55.0246,96.2652,66.5395,63.2541
1950,56.9788,97.2437,65.3064,64.1237
1980,56.9221,99.3011,66.4667,63.146
2010,57.3024,104.577,66.6786,62.4266
2040,56.4185,92.112,66.1399,61.9641
2070,54.9171,85.9276,50.0051,53.5384
2100,50.5667,65.2041,46.1048,45.0636
2130,51.742,68.3314,44.5106,45.2184
2160,53.4052,77.2241,54.0058,46.0783
2190,54.0093,74.4095,51.927,43.6216
2220,66.4036,95.678,59.1075,41.7701
2250,64.4745,87.9392,61.2673,42.0166
2280,65.3931,91.22,61.9376,40.8839
2310,63.6423,89.2795,62.2914,44.9211
2340,63.6206,87.2593,62.5051,43.5861
2370,64.8262,88.5833,62.8324,42.3609
2400,60.5416,90.6815,63.56,43.7366
2430,65.2915,91.966,63.9964,44.2653
2460,64.027,90.0329,64.7873,41.7211
2490,54.4275,87.0121,60.0994,43.6493
2520,52.3329,78.0026,57.7935,44.1663
2550,56.2767,77.6866,60.4478,45.1239
2580,55.5091,82.4726,58.9249,43.7216
2610,52.6425,89.0836,60.4249,42.9072
2640,51.6807,82.7151,57.9321,44.8424
2670,53.6065,81.9817,64.0226,42.3661
2700,51.3931,75.4286,56.6386,42.6176
2730,55.8484,87.4282,63.6455,43.9858
2760,54.7395,90.9445,58.972,42.3009
2790,55.8066,86.1755,57.3581,45.1487
2820,56.1905,86.3087,64.5261,45.8672
2850,62.6951,86.7448,68.2911,43.8132
2880,63.8536,90.8378,63.7814,45.4762
2910,62.5268,100.121,69.0632,46.6198
2940,65.1085,93.5411,64.6529,43.4559
2970,63.1641,95.3747,66.3449,44.331
3000,62.9006,97.6821,66.1741,44.6829
3030,62.8936,88.7027,71.1138,42.8028
